Name,Address,Phone,ContactName,EmailAddress,Website,Details,Services,AgeRequirements,OperationTime
Albertville Senior Citizens Center,709 South Broad StreetAlbertville AL 35950,(256) 891-8279,Dale Carroll,dcarroll@cityofalbertville.com,http://cityofalbertville.com,We recognize our Senior community as one of the most important groups of individuals calling Albertville home. We are not only thrilled but proud to say that our Seniors are enjoying a brand new state of the art Adult Health and Community Center The Center on Broad. Located at 709 South Broad Street; senior citizens are welcome weekdays for activities &amp; fellowship. Seniors host speakers on various topics and take field trips throughout the year to points of interest. Anyone 60 years of age or older is welcome and transportation is available upon request. Lunch is served at 11:00 a.m. weekdays to participating seniors. Donations are voluntary and accepted.,,Card Games; Bingo; Game Room with Pool table Air Hockey and Ping Pong table; Exercise Room; Computer Lab; 5 Televisions; Outside sitting area; Meals; Home Bound Meals; Health Screening; Quarterly Day Trips around Alabama; Speakers and Musical Entertainment,60+ years,
Martling Senior Center,4059 Martling RdAlbertville AL 35951,(256) 878-5751,Peetsie Swords,NOMAIL,"data-table",We serve the area’s residents aged 60 and older and look forward to welcoming new members.,,Lunch; Games and Exercise; Transportation; Field Trips,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Abbeville Senior Citizens Center,215 E Washington StAbbeville AL 36310,(334) 585-5900,,NOMAIL,http://www.cityofabbeville.org,The Abbeville Senior Citizens Center provides the highest quality recreational social and supportive services to mature adults. It is the goal of the center to foster a warm environment where individuals can explore and enjoy activities and services designed to meet the needs and enrich the lives of Abbeville’s diverse older adult population. Our center built in 2004 has become the hub of activity for Abbeville seniors. The center provides daily activities services and programs for seniors 60 years of age and older. If necessary the Abbeville Senior Citizen’s van can offer transportation to the center,,Meal Programs Activities Services Medical Screenings,60+ years,
Adamsville Senior Center,419 Spring StreetAdamsville AL 35005,(205) 674-7855,,NOMAIL,http://www.cityofadamsville.org,The new Adamsville Senior Center opened on September 12 2011. Our facility is open to Jefferson County active seniors 60 years of age and older. An average of 50 Seniors visit the center daily. The Adamsville Senior Center has a nutritionist visit once a quarter and we offer monthly blood pressure checks. Our facility consists of a large multipurpose room with many game tables a piano and a sitting area for visiting with friends. We have a lovely screened patio where you can sit and enjoy the outdoors almost any season of the year. Adamsville Senior Center also offers an arts and crafts room and a computer/reading room. We are a host site for the Nutrition Program that is offered through the Jefferson County Office of Senior Services. To qualify for the Nutrition Program you must be 60 years of age or older and live in Jefferson County,,Arts and crafts; Exercise and dance classes; Games; Meals; Programs with guest speakers,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Akron Senior Activity Center,7018 First Ave. NAkron AL 35441,(205) 372-3378,Pam Ingram,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Alabaster Senior Center,1097 7th Street SWAlabaster AL 35007,(205) 663-1307,Alicia Walters,awalters@cityofalabaster.com,http://cityofalabaster.com,The Alabaster Senior Activity Center which is operated by the Alabaster Parks and Recreation Department offers a variety of programs and services for individuals 55 years of age and older who live in Shelby County.,Individuals age 55 and older living in Alabaster or Shelby County can join the Senior Center by completing necessary paperwork. There is no charge to be a member of the Senior Center; however fees may be associated with certain trips programs and activities.,Cards and Games; Expressive Arts; Health and Exercise Programs; Nutrition Program; Outings and Trips; Recreation and Leisure; Speakers and Education; Volunteer Opportunities,70 years old. Spouse is 66 years old,Mon - Fri: 8:00 am - 3:30 pm
Albertville Senior Citizens Center,709 South Broad StreetAlbertville AL 35950,(256) 891-8279,Dale Carroll,dcarroll@cityofalbertville.com,http://cityofalbertville.com,We recognize our Senior community as one of the most important groups of individuals calling Albertville home. We are not only thrilled but proud to say that our Seniors are enjoying a brand new state of the art Adult Health and Community Center The Center on Broad. Located at 709 South Broad Street; senior citizens are welcome weekdays for activities &amp; fellowship. Seniors host speakers on various topics and take field trips throughout the year to points of interest. Anyone 60 years of age or older is welcome and transportation is available upon request. Lunch is served at 11:00 a.m. weekdays to participating seniors. Donations are voluntary and accepted.,,Card Games; Bingo; Game Room with Pool table Air Hockey and Ping Pong table; Exercise Room; Computer Lab; 5 Televisions; Outside sitting area; Meals; Home Bound Meals; Health Screening; Quarterly Day Trips around Alabama; Speakers and Musical Entertainment,60+ years,
Martling Senior Center,4059 Martling RdAlbertville AL 35951,(256) 878-5751,Peetsie Swords,NOMAIL,"data-table",We serve the area’s residents aged 60 and older and look forward to welcoming new members.,,Lunch; Games and Exercise; Transportation; Field Trips,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Alexander City Senior Center,82 Court Square #103Alexander City AL 35010,(256) 234-4074,Janice Taylor,janice.taylor@alexandercityal.gov,http://www.alexandercityonline.com,The primary goal of the Nutrition Center is to secure and maintain the independence and dignity of persons age 60 and above in Out community. The staff and volunteers of the Senior Nutrition Program provide a nutritious well balanced lunch daily Monday through Friday. The donation for the lunch is $1.00. The Center also provides transportation to the seniors. Supportive services such as outreach visitation calling information and referral public and nutrition education are provided daily. The PACE exercise programin conjunction with the Arthritis Foundationis scheduled on Tuesdays and Fridays at 10:00AM. Games activities and socialization are provided daily with Bingo on Tuesday's and Friday's. A few trips through out the year are scheduled. We have guest speakers who provide blood pressure screening and programs through out the month. The Nutrition Center currently serves 35 congregate meals and we deliver 30 homebound meals to seniors.,,Congregate Meals; Homebound Meals; Transportation; Outreach; Visitation; Calling; Information and Referral; Public and Nutrition Education; Games; Activities; Socialization; Trips; Blood Pressure Screening; PACE Exercise Program,,Mon - Fri: 7:00 am - 3:30 pm
Aliceville Senior Activity Center,416 3rd Ave.Aliceville AL 35442,(205) 373-8872,Katherine Hinton,NOMAIL,"data-table",,,Meals; Nutrition; Crafts; Dominos; Bingo; Quilts; Exercising,60+ years,Mon - Fri: 9:00 am - 12:30 pm
